SNAME,LASTOBS,DESCRIPTIO,REP_ACC,source,state,county,year,lifestage,Lon,Lat,POINT_X,POINT_Y
Zoraena sayi,3/8/2024,Gold Head Branch St. Pk.,15,Flenniken unpublished data,FL,Clay,2024,adult,-81.948923,29.83841096,597748.9203,649598.8703
Zoraena sayi,3/15/2024,Gold Head Branch St. Pk.,15,Flenniken unpublished data,FL,Clay,2024,adult,-81.945845,29.83358399,598085.1424,649087.0994
Zoraena sayi,3/28/2024,Gold Head Branch St. Pk.,15,Flenniken unpublished data,FL,Clay,2024,adult,-81.94476499,29.82843096,598259.7236,648493.7465
Zoraena sayi,3/20/2015,Jennings St. Fr., ,OdonataCentral,FL,Clay,2015,adult,-81.8824,30.1222,603523.9195,681302.3692
Zoraena sayi,3/31/2024,Ohoopee Dunes WMA,,OdonataCentral,GA,Emanuel,2024,adult,-82.42282,32.618608,548463.0779,957097.4932
Zoraena sayi,3/16/2023,Bear Creek Educational Forest, ,OdonataCentral,FL,Gadsden,2023,adult,-84.625787,30.473082,339970.9482,718541.5875
Zoraena sayi,3/16/2010,Apalachicola Bluffs and Ravines Prsrv. (TNC), ,OdonataCentral,FL,Liberty,2010,adult,-84.9765,30.459,306146.9476,717027.2929
Zoraena sayi,3/7/2018,Ralph E. Simmons St. Fr., ,OdonataCentral,FL,Nassau,2018,adult,-81.95449,30.79087,595623.9092,755274.3377
Zoraena sayi,3/26/2017,Ralph E. Simmons St. Fr., ,OdonataCentral,FL,Nassau,2017,adult,-81.953277,30.780553,595447.5582,754056.6623
Zoraena sayi,3/3/2017,Ralph E. Simmons St. Fr., ,OdonataCentral,FL,Nassau,2017,adult,-81.937615,30.816782,596910.5838,758174.83
Zoraena sayi,3/3/2017,Ralph E. Simmons St. Fr., ,OdonataCentral,FL,Nassau,2017,adult,-81.954402,30.784649,595354.6358,754495.0287
Zoraena sayi,3/24/2018,Dunns Creek St. Pk., ,OdonataCentral,FL,Putnam,2018,adult,-81.61583,29.55583,630554.3092,618852.3316
Zoraena sayi,3/29/2016,Blackwater River St. Fr., ,OdonataCentral,FL,Santa Rosa,2016,adult,-86.80471,30.74066,131799.6553,750909.1087
Zoraena sayi,3/9/2021,Camp Blanding, ,OdonataCentral,FL,Clay,2021,nymph,-81.98775167,29.871225,594108.6329,653169.4322
Zoraena sayi,3/16/2023,Bear Creek Educational Forest,84,iNaturalist,FL,Gadsden,2023,adult,-84.61858387,30.47106649,340943.5934,718260.2575
Zoraena sayi,3/30/2014,Lake Talquin State Park,8,iNaturalist,FL,Leon,2014,adult,-84.53153237,30.4358138,349208.2642,714187.5215
Zoraena sayi,3/16/2018,Retained despite large uncertainty due to novel location.,488,iNaturalist,FL,Clay,2018,adult,-81.9264371,30.16237861,599237.0677,685539.2131
